CRACMM1,Emission_Gg/yr,OApotential_Gg/yr,O3potential_Gg/yr,Effective_nC,Effective_Mwt_g/mol,Effective_logCstar_ugm3,Effective_logHlaw_M/atm,Effective_logkOH_cm3/molec/s,OHR_relative,RepCmp,EmissFrac,RepDTX,RepSMILES,Rep_nC,Rep_Mwt_g/mol,Rep_logCstar_ugm3,Rep_logHlaw_M/atm,Rep_logkoh_cm3/molec/s,GoodRep
ACD,201.5481492,0.0,1508.4726815939416,2.0,44.053,9.328252602140367,1.1798635910042055,-10.801466622129578,0.028605242205872843,Acetaldehyde,1.0,DTXSID5039224,CC=O,2,44.053,9.328252602140367,1.1798635910042055,-10.801466622129578,True
ACE,154.320511,0.0,447.5565812033804,2.0,26.038,10.704379967825231,-0.431088623850151,-12.088048066129856,0.001915476773026863,Ethyne,1.0,DTXSID6026379,C#C,2,26.038,10.704379967825231,-0.431088623850151,-12.088048066129856,True
ACRO,53.27834409,0.0,369.4957402936774,3.0,56.064,8.914567382628473,0.917778501643766,-10.701439461594422,0.007480594313669864,Acrolein,1.0,DTXSID5020023,C=CC=O,3,56.064,8.914567382628473,0.917778501643766,-10.701439461594422,True
ACT,396.80970395,0.0,610.2364077217537,3.0,58.07999999999999,8.861679863061527,1.4519497957132204,-12.65728722840715,0.0005953568767230732,Acetone,0.9997818575273277,DTXSID8021482,CC(C)=O,3,58.08,8.861679863061527,1.4519497957132201,-12.65728722840715,True
ALD,87.51528158400002,0.6830805764077958,513.3803433196545,4.677539048835564,81.61084023801645,8.32696522059292,0.8849750791595656,-10.6086566307178,0.010928492944914775,Propanal,0.3328951786784437,DTXSID2021658,CCC=O,3,58.08,8.993062391558913,1.1346140920975765,-10.707486973245782,False
API,117.41276202000002,16.437786682800006,317.26185702238195,9.999999999999998,136.35190594200765,7.487391136486891,-2.0449663512589153,-10.246763006232523,0.019519625317927516,alpha-Pinene,0.4145602928726674,DTXSID4026501,CC1=CCC2CC1C2(C)C,10,136.238,7.538357877913882,-2.1253966757662544,-10.26917332846811,True
BALD,46.51353975899999,1.833019360988666,96.11690884721527,7.178278832528447,110.45589469638853,6.559951250253994,1.8225205161421627,-10.844789550536483,0.0024477769183801797,Benzaldehyde,0.8324085853411818,DTXSID8039241,O=CC1=CC=CC=C1,7,106.124,6.858240331655993,1.5728759538529906,-10.888919040554,True
BDE13,51.94138133,0.0,561.7005976107368,4.0,54.092,9.782649888640888,-1.6158943153741154,-10.176778856959514,0.02529941767307476,"1,3-Butadiene",1.0,DTXSID3020203,C=CC=C,4,54.092,9.782649888640888,-1.6158943153741154,-10.176778856959514,True
BEN,177.0056653,74.78489358925,127.56798298171,6.0,78.114,8.5997855944403,-0.7419398644938521,-11.909241262465484,0.0011054165262457034,Benzene,1.0,DTXSID3039242,C1=CC=CC=C1,6,78.114,8.5997855944403,-0.741939864493852,-11.909241262465484,True
CSL,62.51863476442001,4.445665975219147,246.05416015836894,8.023688031920088,129.4024328741869,5.537793271151329,3.14621835355993,-10.262529779744042,0.011472250734487164,2-Phenylpropan-2-ol,0.1740555440950367,DTXSID3027247,CC(C)(O)C1=CC=CC=C1,9,136.194,5.698494273041487,3.1521270165792608,-10.280173369465489,True
